date,risk_spill,risk_highload,risk_shortfall,risk_maint_defer,decision,rationale
2019-01-31,0.4005026823292124,0.5,0.5,0.4005026823292124,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-01,0.5150090826974896,0.5,0.5,0.5150090826974896,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-02,0.5108590616192633,0.5,0.5,0.5108590616192633,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-03,0.5108590616192633,0.5,0.5,0.5108590616192633,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-04,0.5232387526374315,0.5,0.5,0.5232387526374315,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-05,0.5510874218154201,0.5,0.5,0.5510874218154201,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-06,0.5273140990716189,0.5,0.5,0.5273140990716189,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-07,0.6224723164166601,0.5,0.5,0.6224723164166601,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-02-08,0.7014266972515995,0.5,0.5,0.7014266972515995,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-02-09,0.9443884625835298,0.5,0.5,0.9443884625835298,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-02-10,0.7082504636272081,0.5,0.5,1.0,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-02-11,0.6213537343144248,0.5,0.5,0.6213537343144248,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-02-12,0.5839637702368639,0.5,0.5,0.5839637702368639,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-13,0.5839637702368639,0.5,0.5,0.5839637702368639,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-14,0.5472153249931904,0.5,0.5,0.5472153249931904,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-15,0.6646935853650395,0.5,0.5,0.6646935853650395,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-02-16,0.5734270526533616,0.5,0.5,0.5734270526533616,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-17,0.594041069627212,0.5,0.5,0.594041069627212,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-18,0.5433048132582705,0.5,0.5,0.5433048132582705,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-19,0.5755886549003703,0.5,0.5,0.5755886549003703,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-20,0.5108590616192633,0.5,0.5,0.5108590616192633,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-21,0.5587098864145009,0.5,0.5,0.5587098864145009,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-22,0.5510874218154201,0.5,0.5,0.5510874218154201,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-23,0.5433048132582705,0.5,0.5,0.5433048132582705,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-24,0.5191363725779938,0.5,0.5,0.5191363725779938,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-25,0.5273140990716189,0.5,0.5,0.5273140990716189,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-26,0.5108590616192633,0.5,0.5,0.5108590616192633,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-27,0.5313603469971112,0.5,0.5,0.5313603469971112,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-02-28,0.8282120343230928,0.5,0.5,0.8282120343230928,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-03-01,0.6446180310081688,0.5,0.5,0.6446180310081688,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-03-02,0.6350298551726868,0.5,0.5,0.6350298551726868,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-03-03,0.6858182600185935,0.5,0.5,0.6858182600185935,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-03-04,0.613486853302586,0.5,0.5,0.613486853302586,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-03-05,0.6172971884164211,0.5,0.5,0.6172971884164211,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-03-06,0.5844229909012579,0.5,0.5,0.5844229909012579,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-07,0.5365263208335886,0.5,0.5,0.5365263208335886,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-08,0.56606071225615,0.5,0.5,0.56606071225615,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-09,0.5799444928655594,0.5,0.5,0.5799444928655594,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-10,0.5707609356654264,0.5,0.5,0.5707609356654264,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-11,0.5612917697164096,0.5,0.5,0.5612917697164096,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-12,0.5753897040465705,0.5,0.5,1.0,Defer maintenance; keep units available,High hydrology/outage context; risk to availability.
2019-03-13,0.49463682664979636,0.5,0.5,0.49463682664979636,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-14,0.5753897040465705,0.5,0.5,0.5753897040465705,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-15,0.5314138004507055,0.5,0.5,0.5314138004507055,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-16,0.5365263208335886,0.5,0.5,0.5365263208335886,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-17,0.5564570521550865,0.5,0.5,0.5564570521550865,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-18,0.5612917697164096,0.5,0.5,0.5612917697164096,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-19,0.5753897040465705,0.5,0.5,0.5753897040465705,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-20,0.5844229909012579,0.5,0.5,0.5844229909012579,Monitor inflows; pre-position spillway crew,Moderate spill risk; ensure readiness.
2019-03-21,0.6095892914047691,0.5,0.5,0.6095892914047691,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
2019-03-22,0.6015353297868422,0.5,0.5,0.6015353297868422,Spill advisory & downstream warning,High hydrology/flood signals; consider spill readiness and public alert.
